Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
BIS-11 Motor with Adaptive N-Back HDDM Threshold,504,.1164,.0372,.1939,.1567,.1270,.0106
BIS-11 Motor with Adaptive N-Back Mean Load,504,-.0051,-.0866,.0796,.1662,.0654,.0604
BIS-11 Motor with Angling Risk Task Keep Adjusted Clicks,522,-.0516,-.1381,.0369,.1750,.0697,.0181
BIS-11 Motor with Angling Risk Task Keep Loss Percent,522,-.0169,-.0966,.0650,.1615,.0771,.0602
BIS-11 Motor with Angling Risk Task Keep Score,522,-.0531,-.1393,.0362,.1755,.0664,.0134
BIS-11 Motor with Angling Risk Task Release Adjusted Clicks,522,-.0452,-.1248,.0383,.1630,.0737,.0286
BIS-11 Motor with Angling Risk Task Release Loss Percent,522,-.0185,-.1025,.0662,.1687,.0783,.0599
BIS-11 Motor with Angling Risk Task Release Score,522,-.0534,-.1417,.0368,.1785,.0806,.0272
BIS-11 Motor with Attention Network Task Alerting HDDM Drift,198,.0231,-.0952,.1477,.2429,.1236,.1005
BIS-11 Motor with Attention Network Task Conflict HDDM Drift,198,-.0555,-.1772,.0714,.2486,.1143,.0588
BIS-11 Motor with Attention Network Task HDDM Drift,198,-.0026,-.1648,.1621,.3269,.1053,.1026
BIS-11 Motor with Attention Network Task HDDM Non-Decision,198,.0140,-.1076,.1367,.2442,.0923,.0783
BIS-11 Motor with Attention Network Task HDDM Threshold,198,.0203,-.1331,.1665,.2996,.1212,.1009
BIS-11 Motor with Attention Network Task Orienting HDDM Drift,198,.0784,-.0901,.2332,.3233,.1435,.0652
BIS-11 Motor with Bickel Titrator Discount Rate Large,522,.0224,-.0358,.0847,.1205,.0513,.0289
BIS-11 Motor with Bickel Titrator Discount Rate Medium,522,-.0495,-.1200,.0416,.1616,.0699,.0203
BIS-11 Motor with Bickel Titrator Discount Rate Small,522,.0272,-.0701,.1326,.2027,.0566,.0294
BIS-11 Motor with Choice Reaction Time HDDM Drift,518,-.0791,-.1663,.0091,.1754,.0997,.0207
BIS-11 Motor with Choice Reaction Time HDDM Non-Decision,518,-.0643,-.1375,.0083,.1458,.0874,.0231
BIS-11 Motor with Choice Reaction Time HDDM Threshold,518,.0017,-.0771,.0771,.1542,.0763,.0747
BIS-11 Motor with Cognitive Reflection Task Correct Proportion,522,.0416,-.0496,.1328,.1824,.0652,.0236
BIS-11 Motor with Cognitive Reflection Task Intuitive Proportion,522,-.0339,-.1181,.0530,.1711,.0685,.0346
BIS-11 Motor with Columbia Card Task Cold Average Cards Chosen,522,-.0322,-.1213,.0560,.1774,.0746,.0425
BIS-11 Motor with Columbia Card Task Cold Gain Sensitivity,522,.0395,-.0397,.1202,.1599,.0944,.0549
BIS-11 Motor with Columbia Card Task Cold Information Use,522,-.0086,-.0925,.0782,.1707,.0611,.0525
BIS-11 Motor with Columbia Card Task Cold Loss Sensitivity,522,-.0220,-.0961,.0517,.1478,.0832,.0613
BIS-11 Motor with Columbia Card Task Cold Probability Sensitivity,522,.0338,-.0573,.1251,.1824,.0631,.0293
BIS-11 Motor with Columbia Card Task Hot Average Cards Chosen,521,-.0057,-.0899,.0809,.1709,.0653,.0596
BIS-11 Motor with Columbia Card Task Hot Gain Sensitivity,521,.0046,-.0796,.0944,.1739,.0542,.0496
BIS-11 Motor with Columbia Card Task Hot Information Use,521,.0010,-.0913,.0943,.1855,.0513,.0503
BIS-11 Motor with Columbia Card Task Hot Loss Sensitivity,521,.0009,-.0803,.0817,.1620,.0681,.0671
BIS-11 Motor with Columbia Card Task Hot Probability Sensitivity,521,-.0190,-.1185,.0782,.1968,.0748,.0557
BIS-11 Motor with Dietary Decision Task Health Sensitivity,522,-.1006,-.1747,-.0244,.1503,.1269,.0263
BIS-11 Motor with Dietary Decision Task Taste Sensitivity,522,-.0286,-.1243,.0642,.1885,.0837,.0550
BIS-11 Motor with Digit Span Forward Span,522,.0211,-.0695,.1091,.1786,.0775,.0564
BIS-11 Motor with Digit Span Reverse Span,522,.0060,-.0811,.0887,.1697,.0641,.0581
BIS-11 Motor with Directed Forgetting HDDM Drift,495,-.0395,-.1236,.0474,.1710,.0670,.0275
BIS-11 Motor with Directed Forgetting HDDM Non-Decision,495,.0488,-.0330,.1324,.1654,.0721,.0233
BIS-11 Motor with Directed Forgetting HDDM Threshold,495,-.0069,-.0922,.0755,.1677,.0831,.0762
BIS-11 Motor with Directed Forgetting Proactive Interference HDDM Drift,490,-.0277,-.1233,.0729,.1961,.0917,.0640
BIS-11 Motor with Discount Titrator Percent Patient,522,.0093,-.0720,.0929,.1649,.0653,.0561
BIS-11 Motor with Dot Pattern Expectancy AY.BY HDDM Drift,501,-.0357,-.1138,.0462,.1601,.0619,.0261
BIS-11 Motor with Dot Pattern Expectancy BX.BY HDDM Drift,501,-.0486,-.1274,.0323,.1597,.0952,.0466
BIS-11 Motor with Dot Pattern Expectancy Bias,498,-.0707,-.1539,.0130,.1670,.1091,.0384
BIS-11 Motor with Dot Pattern Expectancy d',498,-.0715,-.1577,.0153,.1730,.1063,.0347
BIS-11 Motor with Dot Pattern Expectancy HDDM Drift,504,-.0783,-.1568,.0033,.1601,.1098,.0315
BIS-11 Motor with Dot Pattern Expectancy HDDM Non-Decision,504,-.0438,-.1324,.0423,.1746,.0793,.0356
BIS-11 Motor with Dot Pattern Expectancy HDDM Threshold,504,.0023,-.0708,.0779,.1487,.0680,.0657
BIS-11 Motor with Go-No Go Bias,521,-.0043,-.0911,.0834,.1745,.0597,.0554
BIS-11 Motor with Go-No Go d',521,-.0140,-.0965,.0698,.1663,.0685,.0545
BIS-11 Motor with Hierarchical Learning Task Score,515,-.0474,-.1351,.0461,.1813,.0743,.0269
BIS-11 Motor with Holt & Laury Safe Choices,522,-.0636,-.1544,.0286,.1830,.0672,.0036
BIS-11 Motor with Information Sampling Task Decreasing Win Probability Correct,514,-.0327,-.1135,.0527,.1662,.0746,.0419
BIS-11 Motor with Information Sampling Task Decreasing Win Motivation,503,.0310,-.0627,.1240,.1867,.0711,.0401
BIS-11 Motor with Information Sampling Task Fixed Win Probability Correct,514,.0050,-.0820,.0930,.1751,.0645,.0595
BIS-11 Motor with Information Sampling Task Fixed Win Motivation,510,.0626,-.0249,.1508,.1757,.0813,.0187
BIS-11 Motor with Keep Track Task Score,514,-.0643,-.1505,.0258,.1763,.0804,.0161
BIS-11 Motor with Kirby Discount Rate Large,522,-.0610,-.1509,.0326,.1835,.0991,.0380
BIS-11 Motor with Kirby Discount Rate Medium,522,-.0624,-.1508,.0317,.1825,.1027,.0403
BIS-11 Motor with Kirby Discount Rate Small,522,-.0370,-.1254,.0565,.1818,.0845,.0475
BIS-11 Motor with Local-Global Letter Task HDDM Drift of Conflict,194,-.1102,-.2198,.0013,.2211,.1481,.0379
BIS-11 Motor with Local-Global Letter Task HDDM Drift,194,-.0952,-.2495,.0521,.3016,.1720,.0767
BIS-11 Motor with Local-Global Letter Task HDDM Non-Decision,194,-.0658,-.2313,.0964,.3277,.1247,.0589
BIS-11 Motor with Local-Global Letter Task HDDM Threshold,194,-.0412,-.1818,.0956,.2774,.1374,.0961
BIS-11 Motor with Local-Global Letter Task HDDM Drift of Switch Cost,194,.0307,-.1202,.1789,.2992,.0873,.0566
BIS-11 Motor with Motor Selective Stop Signal Reaction Time,361,-.0196,-.1259,.0872,.2131,.0986,.0790
BIS-11 Motor with Motor Selective Stop Signal HDDM Drift,361,-.0438,-.1654,.0826,.2481,.1014,.0576
BIS-11 Motor with Motor Selective Stop Signal HDDM Non-Decision,361,-.1373,-.2596,-.0139,.2457,.1231,-.0142
BIS-11 Motor with Motor Selective Stop Signal HDDM Threshold,361,.1004,-.0029,.2022,.2051,.1178,.0174
BIS-11 Motor with Motor Selective Stop Signal Reactive Control,361,.0708,-.0373,.1763,.2136,.0900,.0192
BIS-11 Motor with Motor Selective Stop Signal Proactive Control,361,-.0372,-.1337,.0670,.2008,.0743,.0370
BIS-11 Motor with Probabilistic Selection Task Positive Learning Bias,369,-.0383,-.1590,.0760,.2350,.0960,.0578
BIS-11 Motor with Probabilistic Selection Task Value Sensitivity,369,.0257,-.0868,.1448,.2315,.0917,.0660
BIS-11 Motor with Psychological Refractory Period Slope,515,.0523,-.0417,.1423,.1840,.0837,.0314
BIS-11 Motor with Raven Progressive Matrices,522,-.0258,-.1188,.0686,.1874,.0649,.0391
BIS-11 Motor with Shift Task Accuracy,512,.0143,-.0686,.0955,.1641,.0800,.0658
BIS-11 Motor with Shift Task Learning Rate,512,.0529,-.0320,.1368,.1688,.0692,.0163
BIS-11 Motor with Simon Task HDDM Drift,519,-.0310,-.1169,.0563,.1733,.0617,.0308
BIS-11 Motor with Simon Task HDDM Non-Decision,519,-.0324,-.1250,.0545,.1796,.0704,.0380
BIS-11 Motor with Simon Task HDDM Threshold,519,.0591,-.0192,.1369,.1561,.0860,.0269
BIS-11 Motor with Simon Task HDDM Drift of Simon Effect,519,.1113,.0304,.1900,.1597,.1260,.0147
BIS-11 Motor with Simple Reaction Time Average Reaction Time,517,-.0032,-.0911,.0850,.1761,.0756,.0724
BIS-11 Motor with Spatial Span Forward Span,522,.0311,-.0500,.1134,.1634,.0766,.0455
BIS-11 Motor with Spatial Span Reverse Span,522,.0913,.0101,.1720,.1619,.1094,.0181
BIS-11 Motor with Stimulus Selective Stop Signal Reaction Time,458,.0202,-.0669,.1065,.1734,.0855,.0653
BIS-11 Motor with Stimulus Selective Stop Signal HDDM Drift,458,-.0862,-.1711,.0006,.1717,.0972,.0110
BIS-11 Motor with Stimulus Selective Stop Signal HDDM Non-Decision,458,.0568,-.0590,.1658,.2248,.0871,.0303
BIS-11 Motor with Stimulus Selective Stop Signal HDDM Threshold,458,-.0600,-.1486,.0355,.1841,.0970,.0370
BIS-11 Motor with Stop Signal Reaction Time High,478,.0080,-.0825,.0982,.1807,.0680,.0601
BIS-11 Motor with Stop Signal Reaction Time Low,478,.0576,-.0441,.1588,.2029,.0700,.0124
BIS-11 Motor with Stop Signal HDDM Drift,478,-.1208,-.2077,-.0318,.1759,.1109,-.0100
BIS-11 Motor with Stop Signal HDDM Non-Decision,478,-.1247,-.2188,-.0298,.1891,.1385,.0138
BIS-11 Motor with Stop Signal HDDM Threshold,478,.0392,-.0520,.1361,.1881,.0838,.0446
BIS-11 Motor with Stop Signal Proactive Reaction Time Speeding,478,.0589,-.0264,.1496,.1760,.1095,.0507
BIS-11 Motor with Stop Signal Proactive Reaction Time Slowing,478,.0317,-.0688,.1350,.2038,.0906,.0589
BIS-11 Motor with Stroop HDDM Drift,521,.0464,-.0411,.1366,.1778,.0642,.0178
BIS-11 Motor with Stroop HDDM Non-Decision,521,.0121,-.0710,.0949,.1658,.0627,.0506
BIS-11 Motor with Stroop HDDM Threshold,521,.0317,-.0486,.1132,.1618,.0580,.0263
BIS-11 Motor with Stroop HDDM Drift of Stroop Effect,521,-.0285,-.1185,.0616,.1801,.0683,.0398
BIS-11 Motor with Tower of London Average Move Time,521,.0035,-.0987,.1127,.2114,.0748,.0712
BIS-11 Motor with Tower of London Number of Extra Moves,522,.0170,-.0662,.1005,.1668,.0671,.0502
BIS-11 Motor with Tower of London Number of Optimal Solutions,522,-.0350,-.1373,.0678,.2050,.0680,.0330
BIS-11 Motor with Tower of London Planning Time,522,.0395,-.0465,.1290,.1755,.0810,.0414
BIS-11 Motor with Two-Stage Decision Model-Based,435,.0205,-.0679,.1093,.1771,.0838,.0633
BIS-11 Motor with Two-Stage Decision Model-Free,435,-.0484,-.1372,.0385,.1756,.0675,.0191
BIS-11 Motor with Two-Stage Decision Perseverance,435,-.0194,-.1042,.0676,.1717,.0939,.0745
BIS-11 Motor with Writing Task Neutral Probability,522,-.0989,-.1846,-.0118,.1729,.0934,-.0054
BIS-11 Motor with Writing Task Positive Probability,522,-.0287,-.1119,.0549,.1668,.0746,.0459
BIS-11 Motor with Body Mass Index,518,.0889,.0008,.1776,.1768,.0954,.0065
BIS-11 Motor with K6 Nervous,522,.0786,-.0135,.1699,.1834,.1142,.0356
BIS-11 Motor with K6 Hopeless,522,.1485,.0481,.2482,.2000,.1476,-.0010
BIS-11 Motor with K6 Restless/Fidgety,522,.1283,.0335,.2226,.1892,.1742,.0459
BIS-11 Motor with K6 Depressed,522,.1480,.0502,.2481,.1979,.1646,.0167
BIS-11 Motor with K6 Everything an Effort,522,.1227,.0256,.2209,.1953,.1413,.0186
BIS-11 Motor with K6 Worthless,522,.1437,.0489,.2384,.1895,.1499,.0062
BIS-11 Motor with Cigarettes Per Day,522,.0115,-.0740,.1003,.1743,.0647,.0532
BIS-11 Motor with How Many Drinks When Drinking,522,.1801,.0807,.2798,.1991,.1758,-.0043
BIS-11 Motor with How Often 6+ Drinks,522,.1525,.0629,.2441,.1812,.1538,.0013
BIS-11 Motor with How Often Unable to Stop Drinking,522,.1858,.0947,.2843,.1896,.1896,.0037
BIS-11 Nonplanning with BIS/BAS Drive,522,-.2464,-.3328,-.1563,.1764,.2453,-.0012
BIS-11 Nonplanning with BIS/BAS Fun-Seeking,522,.2383,.1528,.3219,.1691,.2143,-.0240
BIS-11 Nonplanning with BIS/BAS Reward Responsiveness,522,-.1131,-.2007,-.0212,.1795,.1641,.0510
BIS-11 Nonplanning with BIS/BAS BIS,522,.2186,.1251,.3094,.1843,.2233,.0047
BIS-11 Nonplanning with Brief Self-Control Scale,522,-.6608,-.7121,-.6035,.1086,.6023,-.0585
BIS-11 Nonplanning with Dickman's Dysfunctional Impulsivity,522,.5248,.4500,.5912,.1412,.4909,-.0340
BIS-11 Nonplanning with Dickman's Functional Impulsivity,522,-.0647,-.1532,.0247,.1779,.0905,.0259
BIS-11 Nonplanning with DOSPERT Expected Benefits Ethical,522,.1495,.0605,.2342,.1737,.1556,.0061
BIS-11 Nonplanning with DOSPERT Expected Benefits Financial,522,.0609,-.0298,.1511,.1810,.0856,.0247
BIS-11 Nonplanning with DOSPERT Expected Benefits Health/Safety,522,.1716,.0887,.2500,.1613,.1870,.0154
BIS-11 Nonplanning with DOSPERT Expected Benefits Recreational,522,.0923,.0015,.1827,.1812,.1110,.0187
BIS-11 Nonplanning with DOSPERT Expected Benefits Social,522,-.0444,-.1321,.0434,.1755,.0806,.0362
BIS-11 Nonplanning with DOSPERT Risk Perception Ethical,522,-.1904,-.2758,-.1060,.1698,.1697,-.0208
BIS-11 Nonplanning with DOSPERT Risk Perception Financial,522,-.1185,-.2104,-.0243,.1860,.1389,.0204
BIS-11 Nonplanning with DOSPERT Risk Perception Health/Safety,522,-.2008,-.2862,-.1136,.1727,.1837,-.0171
BIS-11 Nonplanning with DOSPERT Risk Perception Recreational,522,-.1377,-.2208,-.0545,.1662,.1368,-.0009
BIS-11 Nonplanning with DOSPERT Risk Perception Social,522,-.0381,-.1280,.0520,.1800,.0617,.0236
BIS-11 Nonplanning with DOSPERT Risk-Taking Ethical,522,.2220,.1290,.3122,.1832,.2170,-.0050
BIS-11 Nonplanning with DOSPERT Risk-Taking Financial,522,.0187,-.0765,.1135,.1899,.0835,.0648
BIS-11 Nonplanning with DOSPERT Risk-Taking Health/Safety,522,.2569,.1640,.3461,.1820,.2431,-.0138
BIS-11 Nonplanning with DOSPERT Risk-Taking Recreational,522,.0651,-.0265,.1577,.1842,.0801,.0150
BIS-11 Nonplanning with DOSPERT Risk-Taking Social,522,-.0310,-.1174,.0534,.1708,.0906,.0596
BIS-11 Nonplanning with Three-Factor Eating Questionnaire Cognitive Restraint,522,-.1544,-.2438,-.0658,.1781,.1600,.0056
BIS-11 Nonplanning with Three-Factor Eating Questionnaire Emotional Eating,522,.2655,.1781,.3505,.1724,.2393,-.0262
BIS-11 Nonplanning with Three-Factor Eating Questionnaire Uncontrolled Eating,522,.2974,.2121,.3808,.1688,.2726,-.0248
BIS-11 Nonplanning with Emotion Regulation Questionnaire Reappraisal,522,-.2729,-.3676,-.1757,.1919,.2739,.0010
BIS-11 Nonplanning with Emotion Regulation Questionnaire Suppression,522,.0560,-.0407,.1507,.1914,.0898,.0339
BIS-11 Nonplanning with FFMQ Acting with Awareness,522,-.5159,-.5813,-.4451,.1362,.4805,-.0354
BIS-11 Nonplanning with FFMQ Describing,522,-.3666,-.4433,-.2835,.1598,.3660,-.0006
BIS-11 Nonplanning with FFMQ Non-Judging of Experience,522,-.2053,-.2944,-.1135,.1808,.1910,-.0143
BIS-11 Nonplanning with FFMQ Non-Reactivity to Experience,522,-.3579,-.4386,-.2748,.1638,.3243,-.0336
BIS-11 Nonplanning with FFMQ Observing,522,-.3156,-.3954,-.2313,.1641,.2784,-.0372
BIS-11 Nonplanning with Carstensen Future Time Perspective,522,-.3033,-.3869,-.2157,.1712,.2803,-.0230
BIS-11 Nonplanning with Grit Scale,522,-.5708,-.6332,-.5020,.1312,.5388,-.0320
BIS-11 Nonplanning with Eysenck I-7 Impulsiveness,522,.5495,.4812,.6108,.1295,.5043,-.0452
BIS-11 Nonplanning with Eysenck I-7 Venturesomeness,522,.0883,-.0015,.1776,.1791,.0900,.0017
BIS-11 Nonplanning with Stanford Leisure Time Activities,522,-.2136,-.2925,-.1340,.1585,.2087,-.0048
BIS-11 Nonplanning with Mindful Attention and Awareness Scale,522,-.4382,-.5170,-.3552,.1618,.4026,-.0356
BIS-11 Nonplanning with Multidimensional Personality Questionnaire Control,522,-.6016,-.6551,-.5428,.1123,.5550,-.0466
BIS-11 Nonplanning with SOC Compensation,494,-.4308,-.5026,-.3532,.1495,.3949,-.0359
BIS-11 Nonplanning with SOC Elective Selection,511,-.3492,-.4184,-.2774,.1410,.3128,-.0364
BIS-11 Nonplanning with SOC Loss-Based Selection,457,-.2099,-.2977,-.1192,.1786,.1959,-.0140
BIS-11 Nonplanning with SOC Optimization,493,-.4991,-.5681,-.4248,.1433,.4667,-.0324
BIS-11 Nonplanning with Short Self-Regulation Questionnaire,522,-.6892,-.7364,-.6383,.0981,.6407,-.0486
BIS-11 Nonplanning with SSS Boredom Susceptibility,508,.1476,.0572,.2339,.1766,.1500,.0024
BIS-11 Nonplanning with SSS Disinhibition,512,.1868,.0951,.2761,.1809,.1890,.0022
BIS-11 Nonplanning with SSS Experience-Seeking,510,.0759,-.0135,.1637,.1772,.0808,.0048
BIS-11 Nonplanning with SSS Thrill-Seeking,510,.0630,-.0228,.1486,.1714,.0723,.0092
BIS-11 Nonplanning with TIPI Agreeableness,522,-.2026,-.2930,-.1071,.1859,.1972,-.0054
BIS-11 Nonplanning with TIPI Conscientiousness,522,-.6100,-.6641,-.5514,.1127,.5730,-.0370
BIS-11 Nonplanning with TIPI Emotional Stability,522,-.3415,-.4234,-.2559,.1674,.3168,-.0247
BIS-11 Nonplanning with TIPI Extraversion,522,-.1366,-.2328,-.0386,.1942,.1600,.0234
BIS-11 Nonplanning with TIPI Openness to Experience,522,-.1791,-.2686,-.0880,.1805,.1931,.0139
BIS-11 Nonplanning with Theories of Willpower Scale,522,.3673,.2780,.4505,.1725,.3438,-.0236
BIS-11 Nonplanning with Zimbardo Time Perspective Inventory Past Negative,522,.3208,.2353,.4016,.1663,.2884,-.0323
BIS-11 Nonplanning with Zimbardo Time Perspective Inventory Past Positive,522,-.2598,-.3444,-.1722,.1722,.2637,.0039
BIS-11 Nonplanning with Zimbardo Time Perspective Inventory Present Fatalistic,522,.5353,.4649,.5995,.1346,.5049,-.0304
BIS-11 Nonplanning with Zimbardo Time Perspective Inventory Present Hedonistic,522,.3164,.2308,.3990,.1682,.2875,-.0289
BIS-11 Nonplanning with UPPS-P Lack of Perseverance,522,.6465,.5876,.7010,.1134,.6067,-.0398
BIS-11 Nonplanning with UPPS-P Lack of Premeditation,522,.5635,.4975,.6255,.1280,.5084,-.0551
BIS-11 Nonplanning with UPPS-P Negative Urgency,522,.5869,.5185,.6496,.1311,.5394,-.0475
BIS-11 Nonplanning with UPPS-P Positive Urgency,522,.4296,.3537,.5033,.1496,.3937,-.0359
BIS-11 Nonplanning with UPPS-P Sensation-Seeking,522,.0895,-.0032,.1792,.1824,.1032,.0137
BIS-11 Nonplanning with Adaptive N-Back HDDM Drift,504,.0134,-.0710,.0968,.1678,.0738,.0604
BIS-11 Nonplanning with Adaptive N-Back HDDM Non-Decision,504,-.0214,-.1053,.0632,.1685,.0816,.0602
BIS-11 Nonplanning with Adaptive N-Back HDDM Threshold,504,.0590,-.0285,.1436,.1721,.0867,.0276
BIS-11 Nonplanning with Adaptive N-Back Mean Load,504,.0095,-.0783,.0970,.1753,.0663,.0568
BIS-11 Nonplanning with Angling Risk Task Keep Adjusted Clicks,522,-.0626,-.1445,.0215,.1660,.0837,.0211
BIS-11 Nonplanning with Angling Risk Task Keep Loss Percent,522,-.0545,-.1365,.0284,.1650,.0777,.0232
BIS-11 Nonplanning with Angling Risk Task Keep Score,522,-.0414,-.1228,.0397,.1625,.0754,.0340
BIS-11 Nonplanning with Angling Risk Task Release Adjusted Clicks,522,-.1089,-.1899,-.0267,.1633,.1103,.0014
BIS-11 Nonplanning with Angling Risk Task Release Loss Percent,522,-.0692,-.1492,.0115,.1606,.0775,.0083
BIS-11 Nonplanning with Angling Risk Task Release Score,522,-.1063,-.1902,-.0207,.1696,.1221,.0157
BIS-11 Nonplanning with Attention Network Task Alerting HDDM Drift,198,.0256,-.1063,.1620,.2684,.0958,.0702
BIS-11 Nonplanning with Attention Network Task Conflict HDDM Drift,198,.0109,-.1079,.1537,.2616,.1132,.1023
BIS-11 Nonplanning with Attention Network Task HDDM Drift,198,.0200,-.1010,.1413,.2423,.1152,.0953
BIS-11 Nonplanning with Attention Network Task HDDM Non-Decision,198,-.1142,-.2547,.0332,.2879,.1662,.0520
BIS-11 Nonplanning with Attention Network Task HDDM Threshold,198,.0121,-.1374,.1598,.2972,.1482,.1361
BIS-11 Nonplanning with Attention Network Task Orienting HDDM Drift,198,.0328,-.1071,.1704,.2776,.1019,.0691
BIS-11 Nonplanning with Bickel Titrator Discount Rate Large,522,.0413,-.0603,.1565,.2168,.0510,.0098
BIS-11 Nonplanning with Bickel Titrator Discount Rate Medium,522,-.0539,-.1461,.0408,.1869,.0601,.0062
BIS-11 Nonplanning with Bickel Titrator Discount Rate Small,522,-.0114,-.1111,.0804,.1915,.0559,.0445
BIS-11 Nonplanning with Choice Reaction Time HDDM Drift,518,-.0438,-.1283,.0414,.1697,.0691,.0253
BIS-11 Nonplanning with Choice Reaction Time HDDM Non-Decision,518,-.0753,-.1589,.0088,.1677,.0993,.0240
BIS-11 Nonplanning with Choice Reaction Time HDDM Threshold,518,.0289,-.0699,.1289,.1988,.0809,.0521
BIS-11 Nonplanning with Cognitive Reflection Task Correct Proportion,522,.0123,-.0704,.0949,.1653,.0583,.0459
BIS-11 Nonplanning with Cognitive Reflection Task Intuitive Proportion,522,.0174,-.0650,.0997,.1647,.0715,.0541
BIS-11 Nonplanning with Columbia Card Task Cold Average Cards Chosen,522,-.0751,-.1603,.0097,.1700,.1044,.0293
